,ReturnDate,ReturnQuantity,SubcategoryName,OrderDate,OrderQuantity
167,,0.0,Socks,2017-02-02,2
168,2017-02-02,1.0,Tires and Tubes,2017-02-02,46
169,,0.0,Touring Bikes,2017-02-02,5
170,,0.0,Vests,2017-02-02,1
175,,0.0,Bottles and Cages,2017-03-02,66
176,,0.0,Caps,2017-03-02,22
177,,0.0,Cleaners,2017-03-02,6
178,,0.0,Fenders,2017-03-02,10
179,,0.0,Gloves,2017-03-02,8
180,,0.0,Helmets,2017-03-02,28
181,,0.0,Hydration Packs,2017-03-02,1
182,,0.0,Jerseys,2017-03-02,11
183,,0.0,Mountain Bikes,2017-03-02,15
184,,0.0,Road Bikes,2017-03-02,11
185,,0.0,Shorts,2017-03-02,5
186,,0.0,Socks,2017-03-02,4
187,,0.0,Tires and Tubes,2017-03-02,65
188,,0.0,Touring Bikes,2017-03-02,7
189,,0.0,Vests,2017-03-02,1
193,,0.0,Bike Racks,2017-04-02,2
194,,0.0,Bike Stands,2017-04-02,1
195,,0.0,Bottles and Cages,2017-04-02,33
196,,0.0,Caps,2017-04-02,9
197,,0.0,Fenders,2017-04-02,4
198,,0.0,Gloves,2017-04-02,9
199,,0.0,Helmets,2017-04-02,15
200,,0.0,Hydration Packs,2017-04-02,1
201,,0.0,Jerseys,2017-04-02,6
202,,0.0,Mountain Bikes,2017-04-02,6
203,,0.0,Road Bikes,2017-04-02,9
204,,0.0,Shorts,2017-04-02,2
205,,0.0,Socks,2017-04-02,2
206,,0.0,Tires and Tubes,2017-04-02,62
207,2017-04-02,1.0,Touring Bikes,2017-04-02,9
208,,0.0,Vests,2017-04-02,3
213,,0.0,Bike Stands,2017-05-02,1
214,2017-05-02,3.0,Bottles and Cages,2017-05-02,50
215,,0.0,Caps,2017-05-02,19
216,,0.0,Cleaners,2017-05-02,5
217,,0.0,Fenders,2017-05-02,21
218,,0.0,Gloves,2017-05-02,14
219,2017-05-02,1.0,Helmets,2017-05-02,17
220,,0.0,Jerseys,2017-05-02,12
221,,0.0,Mountain Bikes,2017-05-02,12
222,2017-05-02,1.0,Road Bikes,2017-05-02,15
223,2017-05-02,2.0,Tires and Tubes,2017-05-02,73
224,,0.0,Touring Bikes,2017-05-02,4
225,,0.0,Vests,2017-05-02,3
230,2017-06-02,1.0,Bottles and Cages,2017-06-02,32
231,2017-06-02,1.0,Caps,2017-06-02,14
232,,0.0,Cleaners,2017-06-02,2
233,2017-06-02,1.0,Fenders,2017-06-02,7
234,,0.0,Gloves,2017-06-02,6
235,,0.0,Helmets,2017-06-02,16
236,2017-06-02,1.0,Hydration Packs,2017-06-02,5
237,,0.0,Jerseys,2017-06-02,12
238,2017-06-02,1.0,Mountain Bikes,2017-06-02,8
239,,0.0,Road Bikes,2017-06-02,11
240,,0.0,Shorts,2017-06-02,3
241,,0.0,Socks,2017-06-02,2
242,2017-06-02,4.0,Tires and Tubes,2017-06-02,77
243,,0.0,Touring Bikes,2017-06-02,8
244,,0.0,Vests,2017-06-02,4
251,,0.0,Mountain Bikes,2016-08-02,4
252,,0.0,Road Bikes,2016-08-02,7
254,,0.0,Mountain Bikes,2016-09-02,7
255,,0.0,Road Bikes,2016-09-02,3
258,,0.0,Mountain Bikes,2016-10-02,3
259,,0.0,Road Bikes,2016-10-02,2
261,,0.0,Mountain Bikes,2016-11-02,3
262,,0.0,Road Bikes,2016-11-02,1
265,,0.0,Mountain Bikes,2016-12-02,6
266,2016-12-02,1.0,Road Bikes,2016-12-02,4
271,,0.0,Bike Racks,2017-01-03,3
272,,0.0,Bottles and Cages,2017-01-03,93
273,,0.0,Caps,2017-01-03,29
274,,0.0,Cleaners,2017-01-03,6
275,2017-01-03,1.0,Fenders,2017-01-03,19
276,,0.0,Gloves,2017-01-03,22
277,2017-01-03,2.0,Helmets,2017-01-03,34
278,,0.0,Hydration Packs,2017-01-03,8
279,,0.0,Jerseys,2017-01-03,17
280,2017-01-03,1.0,Mountain Bikes,2017-01-03,20
281,2017-01-03,1.0,Road Bikes,2017-01-03,25
282,,0.0,Shorts,2017-01-03,3
283,,0.0,Socks,2017-01-03,9
284,2017-01-03,2.0,Tires and Tubes,2017-01-03,101
285,,0.0,Touring Bikes,2017-01-03,14
286,,0.0,Vests,2017-01-03,3
291,,0.0,Bike Racks,2017-02-03,1
292,,0.0,Bottles and Cages,2017-02-03,41
293,,0.0,Caps,2017-02-03,14
294,2017-02-03,1.0,Fenders,2017-02-03,10
295,,0.0,Gloves,2017-02-03,6
296,,0.0,Helmets,2017-02-03,11
297,,0.0,Hydration Packs,2017-02-03,1
298,,0.0,Jerseys,2017-02-03,10
299,,0.0,Mountain Bikes,2017-02-03,4
300,,0.0,Road Bikes,2017-02-03,13
301,2017-02-03,1.0,Shorts,2017-02-03,5
302,,0.0,Socks,2017-02-03,6
303,2017-02-03,2.0,Tires and Tubes,2017-02-03,30
304,,0.0,Touring Bikes,2017-02-03,5
305,,0.0,Vests,2017-02-03,1
310,,0.0,Bottles and Cages,2017-03-03,43
311,2017-03-03,1.0,Caps,2017-03-03,9
312,,0.0,Cleaners,2017-03-03,7
313,,0.0,Fenders,2017-03-03,11
314,2017-03-03,1.0,Gloves,2017-03-03,8
315,2017-03-03,1.0,Helmets,2017-03-03,16
316,,0.0,Hydration Packs,2017-03-03,2
317,,0.0,Jerseys,2017-03-03,10
318,,0.0,Mountain Bikes,2017-03-03,8
319,2017-03-03,1.0,Road Bikes,2017-03-03,9
320,,0.0,Shorts,2017-03-03,1
321,,0.0,Socks,2017-03-03,4
322,2017-03-03,2.0,Tires and Tubes,2017-03-03,42
323,,0.0,Touring Bikes,2017-03-03,4
324,,0.0,Vests,2017-03-03,1
329,,0.0,Bike Racks,2017-04-03,2
330,2017-04-03,1.0,Bottles and Cages,2017-04-03,57
331,,0.0,Caps,2017-04-03,11
332,,0.0,Cleaners,2017-04-03,8
333,,0.0,Fenders,2017-04-03,10
334,,0.0,Gloves,2017-04-03,6
335,,0.0,Helmets,2017-04-03,14
336,2017-04-03,1.0,Hydration Packs,2017-04-03,3
337,2017-04-03,1.0,Jerseys,2017-04-03,7
338,,0.0,Mountain Bikes,2017-04-03,7
339,,0.0,Road Bikes,2017-04-03,12
340,,0.0,Socks,2017-04-03,2
341,2017-04-03,2.0,Tires and Tubes,2017-04-03,53
342,,0.0,Touring Bikes,2017-04-03,6
343,,0.0,Vests,2017-04-03,2
347,,0.0,Bike Racks,2017-05-03,1
348,2017-05-03,1.0,Bottles and Cages,2017-05-03,40
349,2017-05-03,1.0,Caps,2017-05-03,15
350,,0.0,Cleaners,2017-05-03,2
351,,0.0,Fenders,2017-05-03,17
352,,0.0,Helmets,2017-05-03,18
353,,0.0,Hydration Packs,2017-05-03,1
354,,0.0,Jerseys,2017-05-03,10
355,2017-05-03,1.0,Mountain Bikes,2017-05-03,11
356,2017-05-03,1.0,Road Bikes,2017-05-03,8
357,,0.0,Shorts,2017-05-03,1
358,,0.0,Tires and Tubes,2017-05-03,63
359,,0.0,Touring Bikes,2017-05-03,10
360,,0.0,Vests,2017-05-03,4
364,,0.0,Bottles and Cages,2017-06-03,50
365,,0.0,Caps,2017-06-03,8
366,,0.0,Cleaners,2017-06-03,3
367,,0.0,Fenders,2017-06-03,8
368,,0.0,Gloves,2017-06-03,4
369,2017-06-03,1.0,Helmets,2017-06-03,21
370,,0.0,Hydration Packs,2017-06-03,1
371,,0.0,Jerseys,2017-06-03,11
372,,0.0,Mountain Bikes,2017-06-03,9
373,,0.0,Road Bikes,2017-06-03,10
374,,0.0,Shorts,2017-06-03,3
375,,0.0,Socks,2017-06-03,2
376,2017-06-03,1.0,Tires and Tubes,2017-06-03,61
377,,0.0,Touring Bikes,2017-06-03,2
378,,0.0,Vests,2017-06-03,1
385,2016-08-03,1.0,Mountain Bikes,2016-08-03,8
386,,0.0,Road Bikes,2016-08-03,6
388,,0.0,Mountain Bikes,2016-09-03,3
389,,0.0,Road Bikes,2016-09-03,2
391,,0.0,Mountain Bikes,2016-10-03,2
392,,0.0,Road Bikes,2016-10-03,3
395,,0.0,Mountain Bikes,2016-11-03,3
396,,0.0,Road Bikes,2016-11-03,5
399,,0.0,Mountain Bikes,2016-12-03,8
400,2016-12-03,1.0,Road Bikes,2016-12-03,11
404,,0.0,Bike Stands,2017-01-04,1
405,,0.0,Bottles and Cages,2017-01-04,53
406,,0.0,Caps,2017-01-04,13
407,,0.0,Cleaners,2017-01-04,7
408,,0.0,Fenders,2017-01-04,9
409,,0.0,Gloves,2017-01-04,4
410,2017-01-04,1.0,Helmets,2017-01-04,22
411,2017-01-04,1.0,Jerseys,2017-01-04,13
412,2017-01-04,1.0,Mountain Bikes,2017-01-04,7
413,2017-01-04,2.0,Road Bikes,2017-01-04,24
414,,0.0,Shorts,2017-01-04,2
415,2017-01-04,1.0,Tires and Tubes,2017-01-04,62
416,,0.0,Touring Bikes,2017-01-04,6
421,,0.0,Bottles and Cages,2017-02-04,65
422,,0.0,Caps,2017-02-04,12
423,,0.0,Cleaners,2017-02-04,11
424,,0.0,Fenders,2017-02-04,3
425,,0.0,Gloves,2017-02-04,4
426,2017-02-04,1.0,Helmets,2017-02-04,21
427,,0.0,Hydration Packs,2017-02-04,3
428,,0.0,Jerseys,2017-02-04,5
429,,0.0,Mountain Bikes,2017-02-04,11
430,,0.0,Road Bikes,2017-02-04,12
431,,0.0,Socks,2017-02-04,7
432,,0.0,Tires and Tubes,2017-02-04,66
433,,0.0,Touring Bikes,2017-02-04,11
434,,0.0,Vests,2017-02-04,3
439,2017-03-04,1.0,Bike Stands,2017-03-04,3
440,2017-03-04,1.0,Bottles and Cages,2017-03-04,94
441,,0.0,Caps,2017-03-04,20
442,,0.0,Cleaners,2017-03-04,4
443,,0.0,Fenders,2017-03-04,12
444,,0.0,Gloves,2017-03-04,12
445,,0.0,Helmets,2017-03-04,23
446,,0.0,Hydration Packs,2017-03-04,4
447,2017-03-04,2.0,Jerseys,2017-03-04,18
448,,0.0,Mountain Bikes,2017-03-04,13
449,,0.0,Road Bikes,2017-03-04,18
450,,0.0,Shorts,2017-03-04,3
451,,0.0,Socks,2017-03-04,2
452,2017-03-04,2.0,Tires and Tubes,2017-03-04,109
453,2017-03-04,1.0,Touring Bikes,2017-03-04,12
454,,0.0,Vests,2017-03-04,4
459,,0.0,Bike Stands,2017-04-04,1
460,2017-04-04,2.0,Bottles and Cages,2017-04-04,41
461,,0.0,Caps,2017-04-04,10
462,,0.0,Cleaners,2017-04-04,6
463,,0.0,Fenders,2017-04-04,16
464,,0.0,Gloves,2017-04-04,4
465,,0.0,Helmets,2017-04-04,15
466,,0.0,Hydration Packs,2017-04-04,2
467,,0.0,Jerseys,2017-04-04,16
468,2017-04-04,1.0,Mountain Bikes,2017-04-04,11
469,,0.0,Road Bikes,2017-04-04,15
470,,0.0,Shorts,2017-04-04,4
471,,0.0,Socks,2017-04-04,6
472,2017-04-04,1.0,Tires and Tubes,2017-04-04,46
473,2017-04-04,1.0,Touring Bikes,2017-04-04,9
474,,0.0,Vests,2017-04-04,3
478,,0.0,Bike Stands,2017-05-04,1
479,,0.0,Bottles and Cages,2017-05-04,37
480,,0.0,Caps,2017-05-04,17
481,,0.0,Cleaners,2017-05-04,5
482,,0.0,Fenders,2017-05-04,2
483,,0.0,Gloves,2017-05-04,6
484,,0.0,Helmets,2017-05-04,11
485,,0.0,Jerseys,2017-05-04,8
486,,0.0,Mountain Bikes,2017-05-04,2
487,,0.0,Road Bikes,2017-05-04,5
488,,0.0,Shorts,2017-05-04,5
489,,0.0,Socks,2017-05-04,3
490,2017-05-04,2.0,Tires and Tubes,2017-05-04,54
491,,0.0,Touring Bikes,2017-05-04,7
496,,0.0,Bike Racks,2017-06-04,1
497,,0.0,Bike Stands,2017-06-04,1
498,2017-06-04,1.0,Bottles and Cages,2017-06-04,49
499,,0.0,Caps,2017-06-04,16
500,,0.0,Cleaners,2017-06-04,2
501,,0.0,Fenders,2017-06-04,18
502,,0.0,Gloves,2017-06-04,11
503,2017-06-04,2.0,Helmets,2017-06-04,26
504,,0.0,Jerseys,2017-06-04,8
505,2017-06-04,1.0,Mountain Bikes,2017-06-04,14
506,2017-06-04,1.0,Road Bikes,2017-06-04,15
507,,0.0,Shorts,2017-06-04,5
508,,0.0,Socks,2017-06-04,4
509,,0.0,Tires and Tubes,2017-06-04,48
510,2017-06-04,1.0,Touring Bikes,2017-06-04,6
511,,0.0,Vests,2017-06-04,3
517,,0.0,Mountain Bikes,2016-08-04,6
518,,0.0,Road Bikes,2016-08-04,7
520,,0.0,Mountain Bikes,2016-09-04,5
521,,0.0,Road Bikes,2016-09-04,5
524,,0.0,Mountain Bikes,2016-10-04,6
527,,0.0,Mountain Bikes,2016-11-04,7
528,,0.0,Road Bikes,2016-11-04,5
531,,0.0,Mountain Bikes,2016-12-04,3
532,,0.0,Road Bikes,2016-12-04,4
536,,0.0,Bike Stands,2017-01-05,2
537,2017-01-05,1.0,Bottles and Cages,2017-01-05,72
538,,0.0,Caps,2017-01-05,19
539,,0.0,Cleaners,2017-01-05,9
540,2017-01-05,1.0,Fenders,2017-01-05,15
541,,0.0,Gloves,2017-01-05,12
542,2017-01-05,1.0,Helmets,2017-01-05,29
543,,0.0,Hydration Packs,2017-01-05,5
544,,0.0,Jerseys,2017-01-05,8
545,2017-01-05,1.0,Mountain Bikes,2017-01-05,16
546,,0.0,Road Bikes,2017-01-05,24
547,,0.0,Shorts,2017-01-05,1
548,,0.0,Tires and Tubes,2017-01-05,75
549,,0.0,Touring Bikes,2017-01-05,11
550,,0.0,Vests,2017-01-05,2
554,,0.0,Bike Racks,2017-02-05,3
555,2017-02-05,1.0,Bottles and Cages,2017-02-05,28
556,,0.0,Caps,2017-02-05,9
557,,0.0,Cleaners,2017-02-05,12
558,,0.0,Fenders,2017-02-05,17
559,,0.0,Gloves,2017-02-05,13
560,2017-02-05,1.0,Helmets,2017-02-05,16
561,,0.0,Hydration Packs,2017-02-05,3
562,,0.0,Jerseys,2017-02-05,7
563,,0.0,Mountain Bikes,2017-02-05,10
564,,0.0,Road Bikes,2017-02-05,11
565,,0.0,Shorts,2017-02-05,4
566,,0.0,Socks,2017-02-05,2
567,2017-02-05,1.0,Tires and Tubes,2017-02-05,63
568,,0.0,Touring Bikes,2017-02-05,1
569,,0.0,Vests,2017-02-05,3
573,,0.0,Bike Racks,2017-03-05,4
574,,0.0,Bike Stands,2017-03-05,1
575,,0.0,Bottles and Cages,2017-03-05,51
576,,0.0,Caps,2017-03-05,18
577,,0.0,Cleaners,2017-03-05,2
578,,0.0,Fenders,2017-03-05,18
579,,0.0,Gloves,2017-03-05,5
580,,0.0,Helmets,2017-03-05,14
581,,0.0,Hydration Packs,2017-03-05,3
582,,0.0,Jerseys,2017-03-05,9
583,,0.0,Mountain Bikes,2017-03-05,15
584,,0.0,Road Bikes,2017-03-05,15
585,,0.0,Shorts,2017-03-05,7
586,,0.0,Socks,2017-03-05,7
587,,0.0,Tires and Tubes,2017-03-05,53
588,,0.0,Touring Bikes,2017-03-05,10
589,,0.0,Vests,2017-03-05,2
594,,0.0,Bike Racks,2017-04-05,3
595,,0.0,Bike Stands,2017-04-05,2
596,,0.0,Bottles and Cages,2017-04-05,65
597,,0.0,Caps,2017-04-05,20
598,,0.0,Cleaners,2017-04-05,2
599,,0.0,Fenders,2017-04-05,5
600,,0.0,Gloves,2017-04-05,10
601,,0.0,Helmets,2017-04-05,23
602,,0.0,Hydration Packs,2017-04-05,1
603,,0.0,Jerseys,2017-04-05,10
604,,0.0,Mountain Bikes,2017-04-05,10
605,2017-04-05,1.0,Road Bikes,2017-04-05,16
606,2017-04-05,1.0,Shorts,2017-04-05,4
607,,0.0,Socks,2017-04-05,2
608,2017-04-05,2.0,Tires and Tubes,2017-04-05,64
609,2017-04-05,1.0,Touring Bikes,2017-04-05,12
610,,0.0,Vests,2017-04-05,3
615,2017-05-05,2.0,Bike Racks,2017-05-05,3
616,,0.0,Bike Stands,2017-05-05,1
617,,0.0,Bottles and Cages,2017-05-05,69
618,2017-05-05,1.0,Caps,2017-05-05,19
619,,0.0,Fenders,2017-05-05,12
620,,0.0,Gloves,2017-05-05,12
621,,0.0,Helmets,2017-05-05,25
622,2017-05-05,1.0,Hydration Packs,2017-05-05,3
623,,0.0,Jerseys,2017-05-05,6
624,,0.0,Mountain Bikes,2017-05-05,14
625,,0.0,Road Bikes,2017-05-05,17
626,,0.0,Shorts,2017-05-05,2
627,,0.0,Socks,2017-05-05,7
628,2017-05-05,1.0,Tires and Tubes,2017-05-05,60
629,,0.0,Touring Bikes,2017-05-05,11
630,,0.0,Vests,2017-05-05,4
635,,0.0,Bike Racks,2017-06-05,2
636,2017-06-05,1.0,Bottles and Cages,2017-06-05,41
637,,0.0,Caps,2017-06-05,6
638,2017-06-05,1.0,Fenders,2017-06-05,10
639,2017-06-05,1.0,Gloves,2017-06-05,12
640,2017-06-05,2.0,Helmets,2017-06-05,25
641,,0.0,Jerseys,2017-06-05,8
642,,0.0,Mountain Bikes,2017-06-05,12
643,,0.0,Road Bikes,2017-06-05,17
644,,0.0,Shorts,2017-06-05,1
645,,0.0,Socks,2017-06-05,2
646,2017-06-05,2.0,Tires and Tubes,2017-06-05,68
647,,0.0,Touring Bikes,2017-06-05,9
648,,0.0,Vests,2017-06-05,1
655,,0.0,Mountain Bikes,2016-08-05,6
656,,0.0,Road Bikes,2016-08-05,9
659,,0.0,Mountain Bikes,2016-09-05,2
660,,0.0,Road Bikes,2016-09-05,6
663,,0.0,Mountain Bikes,2016-10-05,2
664,,0.0,Road Bikes,2016-10-05,4
667,2016-11-05,1.0,Mountain Bikes,2016-11-05,6
668,,0.0,Road Bikes,2016-11-05,5
671,,0.0,Mountain Bikes,2016-12-05,5
672,,0.0,Road Bikes,2016-12-05,8
676,,0.0,Bike Stands,2017-01-06,1
677,,0.0,Bottles and Cages,2017-01-06,40
678,,0.0,Caps,2017-01-06,15
679,,0.0,Cleaners,2017-01-06,8
680,,0.0,Fenders,2017-01-06,7
681,,0.0,Gloves,2017-01-06,7
682,,0.0,Helmets,2017-01-06,16
683,,0.0,Jerseys,2017-01-06,14
684,2017-01-06,1.0,Mountain Bikes,2017-01-06,8
685,2017-01-06,1.0,Road Bikes,2017-01-06,12
686,,0.0,Shorts,2017-01-06,1
687,,0.0,Socks,2017-01-06,2
688,,0.0,Tires and Tubes,2017-01-06,40
689,2017-01-06,1.0,Touring Bikes,2017-01-06,5
694,2017-02-06,1.0,Bottles and Cages,2017-02-06,31
695,,0.0,Caps,2017-02-06,10
696,,0.0,Cleaners,2017-02-06,3
697,,0.0,Fenders,2017-02-06,15
698,,0.0,Gloves,2017-02-06,3
699,,0.0,Helmets,2017-02-06,14
700,,0.0,Hydration Packs,2017-02-06,1
701,,0.0,Jerseys,2017-02-06,14
702,,0.0,Mountain Bikes,2017-02-06,10
703,,0.0,Road Bikes,2017-02-06,12
704,,0.0,Shorts,2017-02-06,3
705,2017-02-06,1.0,Socks,2017-02-06,2
706,,0.0,Tires and Tubes,2017-02-06,52
707,,0.0,Touring Bikes,2017-02-06,3
708,,0.0,Vests,2017-02-06,2
713,,0.0,Bike Racks,2017-03-06,1
714,,0.0,Bike Stands,2017-03-06,1
715,2017-03-06,3.0,Bottles and Cages,2017-03-06,54
716,,0.0,Caps,2017-03-06,15
717,,0.0,Cleaners,2017-03-06,9
718,,0.0,Fenders,2017-03-06,4
719,,0.0,Gloves,2017-03-06,12
720,,0.0,Helmets,2017-03-06,18
721,,0.0,Hydration Packs,2017-03-06,3
722,2017-03-06,1.0,Jerseys,2017-03-06,14
723,,0.0,Mountain Bikes,2017-03-06,15
724,,0.0,Road Bikes,2017-03-06,21
725,,0.0,Shorts,2017-03-06,4
726,,0.0,Socks,2017-03-06,2
727,2017-03-06,3.0,Tires and Tubes,2017-03-06,52
728,,0.0,Touring Bikes,2017-03-06,6
729,,0.0,Vests,2017-03-06,1
734,,0.0,Bottles and Cages,2017-04-06,45
735,,0.0,Caps,2017-04-06,11
736,,0.0,Cleaners,2017-04-06,7
737,,0.0,Fenders,2017-04-06,9
738,2017-04-06,1.0,Gloves,2017-04-06,9
739,,0.0,Helmets,2017-04-06,14
740,,0.0,Hydration Packs,2017-04-06,2
741,,0.0,Jerseys,2017-04-06,13
742,,0.0,Mountain Bikes,2017-04-06,11
743,,0.0,Road Bikes,2017-04-06,12
744,,0.0,Shorts,2017-04-06,7
745,,0.0,Socks,2017-04-06,1
746,,0.0,Tires and Tubes,2017-04-06,55
747,,0.0,Touring Bikes,2017-04-06,9
748,,0.0,Vests,2017-04-06,1
753,,0.0,Bike Racks,2017-05-06,3
754,,0.0,Bike Stands,2017-05-06,1
755,2017-05-06,1.0,Bottles and Cages,2017-05-06,64
756,,0.0,Caps,2017-05-06,27
757,,0.0,Cleaners,2017-05-06,2
758,,0.0,Fenders,2017-05-06,11
759,,0.0,Gloves,2017-05-06,8
760,2017-05-06,2.0,Helmets,2017-05-06,22
761,,0.0,Hydration Packs,2017-05-06,3
762,,0.0,Jerseys,2017-05-06,11
763,,0.0,Mountain Bikes,2017-05-06,13
764,,0.0,Road Bikes,2017-05-06,13
765,,0.0,Shorts,2017-05-06,2
766,,0.0,Socks,2017-05-06,3
767,,0.0,Tires and Tubes,2017-05-06,62
768,,0.0,Touring Bikes,2017-05-06,12
773,,0.0,Bike Racks,2017-06-06,3
774,,0.0,Bottles and Cages,2017-06-06,75
775,2017-06-06,1.0,Caps,2017-06-06,20
776,,0.0,Cleaners,2017-06-06,6
